datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-03 09:15:00,76777.06,831.6,910.05,789.4,867.75,9400,13.94,0.6272,0.00025,-39.11,40.9
2026-09-03 09:30:00,76891.73,875.0,947.45,875.0,947.45,2320,14.11,0.654,0.000241,-38.62,39.88
2026-09-03 09:45:00,76880.62,947.45,955.0,925.05,925.05,800,13.74,0.6551,0.000247,-37.58,39.8
2026-09-03 10:00:00,76805.79,925.05,929.95,925.0,929.95,160,15.06,0.6256,0.000232,-42.4,40.88
2026-09-03 10:15:00,76789.27,929.95,929.95,896.75,898.0,40,14.54,0.6258,0.000241,-40.96,40.84
2026-09-03 10:30:00,76755.25,898.0,898.0,800.0,823.55,440,13.24,0.6281,0.000264,-37.25,40.71
2026-09-03 10:45:00,76748.47,825.0,839.95,805.1,808.0,800,12.98,0.6287,0.00027,-36.5,40.65
2026-09-03 11:00:00,76628.0,808.3,808.3,750.0,750.0,1200,13.37,0.5933,0.000269,-38.58,41.64
2026-09-03 11:15:00,76745.69,750.0,815.0,750.0,811.0,980,13.11,0.6269,0.000268,-36.99,40.66
2026-09-03 11:30:00,76768.3,817.2,825.45,811.0,819.25,700,12.97,0.6344,0.000269,-36.39,40.37
2026-09-03 11:45:00,76747.17,819.25,827.85,790.0,805.05,520,12.96,0.6289,0.000271,-36.56,40.53
2026-09-03 12:00:00,76677.54,797.45,800.0,767.35,770.0,1460,13.17,0.6084,0.000271,-37.76,41.13
2026-09-03 12:15:00,76577.96,770.0,770.0,720.0,734.35,1520,13.74,0.5781,0.000266,-40.13,41.82
2026-09-03 12:30:00,76592.68,734.35,755.0,732.9,755.0,1840,14.04,0.5804,0.00026,-40.99,41.75
2026-09-03 12:45:00,76638.82,743.8,775.0,743.8,764.9,840,13.64,0.5949,0.000265,-39.54,41.4
2026-09-03 13:00:00,76661.07,764.9,780.0,750.0,769.9,380,13.45,0.6022,0.000268,-38.83,41.18
2026-09-03 13:15:00,76591.92,769.9,782.0,700.0,736.0,940,13.63,0.5826,0.000268,-39.82,41.61
2026-09-03 13:30:00,76587.82,736.0,780.0,720.0,732.35,1600,13.6,0.5817,0.000269,-39.81,41.6
2026-09-03 13:45:00,76621.9,732.35,750.0,711.0,750.0,1900,13.56,0.5911,0.000268,-39.52,41.36
2026-09-03 14:00:00,76602.32,750.0,762.05,730.05,737.05,1520,13.53,0.5861,0.00027,-39.57,41.44
2026-09-03 14:15:00,76649.88,737.05,759.3,725.6,756.4,1380,13.33,0.6003,0.000271,-38.69,41.08
2026-09-03 14:30:00,76584.56,756.4,756.4,725.0,741.25,3240,13.91,0.5794,0.000264,-40.86,41.52
2026-09-03 14:45:00,76558.15,741.3,741.3,679.0,710.5,5780,13.54,0.5742,0.000272,-39.92,41.59
2026-09-03 15:00:00,76554.2,699.0,719.05,675.0,708.75,3840,13.56,0.5731,0.000272,-40.03,41.58
2026-09-03 15:15:00,76152.86,704.8,712.95,616.85,631.0,17200,16.68,0.4707,0.000226,-49.78,41.94
