datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-07-15 09:17:00,24140.9,995.85,995.85,995.85,995.85,65,16.96,0.6107,0.000201,-4.42,41.45
2026-07-15 09:18:00,24141.6,1000.65,1000.65,1000.65,1000.65,65,17.06,0.6103,0.0002,-4.45,41.46
2026-07-15 09:19:00,24147.35,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6234,0.000224,-3.86,41.01
2026-07-15 09:20:00,24159.55,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6261,0.000224,-3.85,40.93
2026-07-15 09:21:00,24172.45,1000.65,1000.65,1000.65,1000.65,0,15.0,0.629,0.000223,-3.84,40.84
2026-07-15 09:22:00,24178.4,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6303,0.000223,-3.84,40.79
2026-07-15 09:23:00,24186.35,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6321,0.000222,-3.83,40.74
2026-07-15 09:24:00,24190.6,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6331,0.000222,-3.83,40.71
2026-07-15 09:25:00,24198.6,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6348,0.000222,-3.82,40.65
2026-07-15 09:26:00,24206.05,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6365,0.000221,-3.82,40.59
2026-07-15 09:27:00,24201.85,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6355,0.000221,-3.82,40.62
2026-07-15 09:28:00,24201.2,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6354,0.000221,-3.82,40.63
2026-07-15 09:29:00,24195.7,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6342,0.000222,-3.82,40.67
2026-07-15 09:30:00,24208.8,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6371,0.000221,-3.81,40.57
2026-07-15 09:31:00,24211.5,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6377,0.000221,-3.81,40.55
2026-07-15 09:32:00,24204.3,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6361,0.000221,-3.82,40.6
2026-07-15 09:33:00,24207.25,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6367,0.000221,-3.81,40.58
2026-07-15 09:34:00,24199.8,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6351,0.000221,-3.82,40.64
2026-07-15 09:35:00,24200.2,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6352,0.000221,-3.82,40.63
2026-07-15 09:36:00,24205.75,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6364,0.000221,-3.82,40.59
2026-07-15 09:37:00,24204.6,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6362,0.000221,-3.82,40.6
2026-07-15 09:38:00,24204.25,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6361,0.000221,-3.82,40.6
2026-07-15 09:39:00,24195.5,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6341,0.000222,-3.82,40.67
2026-07-15 09:40:00,24197.65,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6346,0.000222,-3.82,40.65
2026-07-15 09:41:00,24198.1,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6347,0.000222,-3.82,40.65
2026-07-15 09:42:00,24195.7,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6342,0.000222,-3.82,40.67
2026-07-15 09:43:00,24192.9,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6336,0.000222,-3.83,40.69
2026-07-15 09:44:00,24195.1,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6341,0.000222,-3.83,40.67
2026-07-15 09:45:00,24202.05,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6356,0.000221,-3.82,40.62
2026-07-15 09:46:00,24201.15,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6354,0.000221,-3.82,40.62
2026-07-15 09:47:00,24198.9,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6349,0.000222,-3.82,40.64
2026-07-15 09:48:00,24201.7,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6355,0.000221,-3.82,40.62
2026-07-15 09:49:00,24191.85,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6333,0.000222,-3.83,40.69
2026-07-15 09:50:00,24196.1,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6343,0.000222,-3.82,40.66
2026-07-15 09:51:00,24203.8,1000.65,1000.65,1000.65,1000.65,0,15.0,0.636,0.000221,-3.82,40.6
2026-07-15 09:52:00,24194.6,1000.65,1000.65,1000.65,1000.65,0,15.0,0.634,0.000222,-3.83,40.67
2026-07-15 09:53:00,24197.8,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6347,0.000222,-3.82,40.65
2026-07-15 09:54:00,24199.2,1000.65,1000.65,1000.65,1000.65,0,15.0,0.635,0.000222,-3.82,40.64
2026-07-15 09:55:00,24202.2,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6356,0.000221,-3.82,40.61
2026-07-15 09:56:00,24197.1,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6345,0.000222,-3.82,40.65
2026-07-15 09:57:00,24190.25,1000.65,1000.65,1000.65,1000.65,0,15.0,0.633,0.000222,-3.83,40.7
2026-07-15 09:58:00,24190.15,1000.65,1000.65,1000.65,1000.65,0,15.0,0.633,0.000222,-3.83,40.7
2026-07-15 09:59:00,24184.95,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6318,0.000222,-3.83,40.74
2026-07-15 10:00:00,24179.15,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6305,0.000223,-3.84,40.78
2026-07-15 10:01:00,24175.65,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6297,0.000223,-3.84,40.81
2026-07-15 10:02:00,24183.4,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6315,0.000222,-3.84,40.75
2026-07-15 10:03:00,24189.75,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6329,0.000222,-3.83,40.7
2026-07-15 10:04:00,24187.3,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6323,0.000222,-3.83,40.72
2026-07-15 10:05:00,24186.25,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6321,0.000222,-3.83,40.73
2026-07-15 10:06:00,24188.45,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6326,0.000222,-3.83,40.71
2026-07-15 10:07:00,24193.45,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6337,0.000222,-3.83,40.68
2026-07-15 10:08:00,24198.6,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6349,0.000222,-3.82,40.64
2026-07-15 10:09:00,24195.1,1000.65,1000.65,1000.65,1000.65,0,15.0,0.6341,0.000222,-3.83,40.66
