datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-08-19 09:55:00,77063.08,1731.9,1731.9,1731.9,1731.9,20,14.97,0.5672,0.000107,-19.24,94.69
2026-08-19 09:56:00,77057.17,1734.8,1734.8,1733.2,1733.2,60,15.02,0.5664,0.000107,-19.31,94.71
2026-08-19 09:57:00,77056.19,1733.2,1735.4,1731.7,1735.4,80,15.05,0.5662,0.000107,-19.35,94.72
2026-08-19 09:58:00,77047.65,1735.4,1735.4,1731.4,1731.4,20,15.06,0.5653,0.000107,-19.37,94.75
2026-08-19 09:59:00,77043.37,1730.95,1730.95,1730.95,1730.95,20,15.08,0.5648,0.000107,-19.4,94.76
2026-08-19 10:00:00,77050.93,1730.95,1736.7,1730.95,1736.7,20,15.09,0.5655,0.000107,-19.41,94.74
2026-08-19 10:01:00,77046.84,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5654,0.000107,-19.29,94.74
2026-08-19 10:02:00,77059.56,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5668,0.000107,-19.28,94.7
2026-08-19 10:03:00,77064.43,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5673,0.000107,-19.28,94.68
2026-08-19 10:04:00,77054.28,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5662,0.000107,-19.29,94.71
2026-08-19 10:05:00,77045.25,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5652,0.000107,-19.3,94.74
2026-08-19 10:06:00,77056.67,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5665,0.000107,-19.29,94.7
2026-08-19 10:07:00,77053.26,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5661,0.000107,-19.29,94.71
2026-08-19 10:08:00,77048.55,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5656,0.000107,-19.29,94.73
2026-08-19 10:09:00,77045.84,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5653,0.000107,-19.3,94.74
2026-08-19 10:10:00,77042.65,1736.7,1736.7,1736.7,1736.7,0,15.0,0.565,0.000107,-19.3,94.75
2026-08-19 10:11:00,77041.68,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5649,0.000107,-19.3,94.75
2026-08-19 10:12:00,77026.41,1736.7,1736.7,1736.7,1736.7,0,15.0,0.5632,0.000107,-19.31,94.8
2026-08-19 10:13:00,77009.95,1736.7,1736.7,1719.4,1719.4,20,15.16,0.561,0.000106,-19.53,94.86
2026-08-19 10:14:00,77025.73,1719.4,1725.65,1719.4,1725.65,20,15.13,0.5627,0.000106,-19.48,94.81
2026-08-19 10:15:00,77009.66,1725.65,1725.65,1725.65,1725.65,0,15.0,0.5614,0.000107,-19.32,94.85
2026-08-19 10:16:00,77003.85,1725.65,1725.65,1725.65,1725.65,0,15.0,0.5608,0.000107,-19.33,94.86
2026-08-19 10:17:00,76999.42,1725.65,1725.65,1718.6,1718.6,20,15.21,0.5597,0.000106,-19.61,94.9
2026-08-19 10:18:00,76972.11,1718.6,1718.6,1718.6,1718.6,0,15.0,0.5574,0.000108,-19.35,94.95
2026-08-19 10:19:00,76969.9,1718.6,1718.6,1718.6,1718.6,0,15.0,0.5571,0.000108,-19.35,94.96
2026-08-19 10:20:00,76951.74,1718.6,1718.6,1718.6,1718.6,0,15.0,0.5552,0.000108,-19.37,95.01
2026-08-19 10:21:00,76936.79,1718.6,1718.6,1687.0,1687.0,20,15.25,0.553,0.000106,-19.7,95.06
2026-08-19 10:22:00,76938.15,1687.0,1687.0,1686.4,1686.4,20,15.23,0.5531,0.000106,-19.68,95.06
2026-08-19 10:23:00,76933.5,1686.4,1686.4,1685.75,1685.75,20,15.25,0.5526,0.000106,-19.71,95.07
2026-08-19 10:24:00,76932.73,1685.75,1685.75,1685.75,1685.75,0,15.0,0.5531,0.000108,-19.38,95.05
2026-08-19 10:25:00,76937.68,1685.75,1685.75,1685.75,1685.75,0,15.0,0.5537,0.000108,-19.38,95.04
2026-08-19 10:26:00,76938.06,1685.75,1685.75,1685.75,1685.75,0,15.0,0.5537,0.000108,-19.38,95.04
2026-08-19 10:27:00,76943.41,1685.75,1685.75,1685.75,1685.75,0,15.0,0.5543,0.000108,-19.37,95.02
2026-08-19 10:28:00,76945.98,1685.75,1685.75,1685.75,1685.75,0,15.0,0.5546,0.000108,-19.37,95.01
2026-08-19 10:29:00,76935.8,1685.75,1685.75,1685.75,1685.75,0,15.0,0.5535,0.000108,-19.38,95.04
2026-08-19 10:30:00,76934.26,1685.75,1685.75,1674.85,1676.6,100,15.15,0.5529,0.000107,-19.58,95.05
2026-08-19 10:31:00,76920.37,1677.0,1677.0,1671.9,1673.05,60,15.2,0.5513,0.000107,-19.64,95.09
2026-08-19 10:32:00,76928.84,1673.05,1678.7,1673.05,1678.7,20,15.21,0.5522,0.000107,-19.65,95.07
2026-08-19 10:33:00,76934.95,1679.6,1679.6,1675.5,1675.5,60,15.14,0.553,0.000107,-19.56,95.05
2026-08-19 10:34:00,76914.98,1675.5,1679.25,1675.5,1675.85,60,15.26,0.5506,0.000106,-19.73,95.1
2026-08-19 10:35:00,76919.53,1675.85,1675.85,1675.85,1675.85,0,15.0,0.5517,0.000108,-19.39,95.07
2026-08-19 10:36:00,76922.31,1677.1,1677.1,1677.1,1677.1,20,15.23,0.5515,0.000106,-19.69,95.08
2026-08-19 10:37:00,76918.03,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5516,0.000108,-19.39,95.07
2026-08-19 10:38:00,76900.58,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5497,0.000108,-19.4,95.11
2026-08-19 10:39:00,76903.08,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5499,0.000108,-19.4,95.11
2026-08-19 10:40:00,76908.31,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5505,0.000108,-19.4,95.09
2026-08-19 10:41:00,76894.92,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5491,0.000108,-19.4,95.12
2026-08-19 10:42:00,76908.09,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5505,0.000108,-19.4,95.09
2026-08-19 10:43:00,76930.55,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5529,0.000108,-19.38,95.04
2026-08-19 10:44:00,76932.28,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5531,0.000108,-19.38,95.03
2026-08-19 10:45:00,76913.01,1677.1,1677.1,1677.1,1677.1,0,15.0,0.551,0.000108,-19.39,95.08
2026-08-19 10:46:00,76905.43,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5502,0.000108,-19.4,95.1
2026-08-19 10:47:00,76905.46,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5502,0.000108,-19.4,95.1
2026-08-19 10:48:00,76912.28,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5509,0.000108,-19.4,95.08
2026-08-19 10:49:00,76919.54,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5517,0.000108,-19.39,95.06
2026-08-19 10:50:00,76914.43,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5512,0.000108,-19.39,95.07
2026-08-19 10:51:00,76912.2,1677.1,1677.1,1677.1,1677.1,0,15.0,0.5509,0.000108,-19.4,95.08
