datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-04 09:30:00,26024.0,445.65,451.75,445.65,451.75,240,15.25,0.5338,0.000379,-8.09,27.07
2026-09-04 09:45:00,26050.7,451.75,468.7,451.75,459.15,300,14.99,0.5444,0.000384,-7.94,27.01
2026-09-04 10:00:00,26050.85,459.15,459.15,459.15,459.15,0,14.99,0.5445,0.000384,-7.94,27.01
2026-09-04 10:15:00,26079.2,459.15,459.15,459.15,459.15,0,14.42,0.557,0.000397,-7.61,26.92
2026-09-04 10:30:00,26080.65,459.15,481.1,459.15,481.1,60,15.21,0.5553,0.000377,-8.03,26.93
2026-09-04 10:45:00,26085.65,481.1,481.1,481.1,481.1,0,15.11,0.5575,0.000379,-7.98,26.91
2026-09-04 11:00:00,26100.5,481.1,481.1,481.1,481.1,0,14.8,0.5641,0.000386,-7.8,26.84
2026-09-04 11:15:00,26130.6,481.1,481.1,481.1,481.1,0,14.16,0.5785,0.0004,-7.42,26.68
2026-09-04 11:30:00,26126.6,481.1,481.1,481.1,481.1,0,14.25,0.5766,0.000398,-7.47,26.7
2026-09-04 11:45:00,26131.65,481.1,481.1,481.1,481.1,0,14.14,0.5791,0.000401,-7.41,26.67
2026-09-04 12:00:00,26114.3,481.1,493.1,481.1,493.1,60,14.97,0.5689,0.000381,-7.88,26.78
2026-09-04 12:15:00,26116.15,493.1,493.1,493.1,493.1,0,14.93,0.5697,0.000382,-7.86,26.76
2026-09-04 12:30:00,26092.45,493.1,493.1,493.1,493.1,0,15.43,0.5592,0.000371,-8.16,26.86
2026-09-04 12:45:00,26096.05,493.1,493.1,493.1,493.1,0,15.36,0.5607,0.000373,-8.12,26.84
2026-09-04 13:00:00,26103.15,493.1,493.1,493.1,493.1,0,15.22,0.5639,0.000376,-8.03,26.81
2026-09-04 13:15:00,26114.8,493.1,493.1,493.1,493.1,0,14.97,0.5691,0.000381,-7.89,26.75
2026-09-04 13:30:00,26111.95,493.1,493.1,493.1,493.1,0,15.04,0.5678,0.00038,-7.93,26.76
2026-09-04 13:45:00,26104.0,493.1,493.1,493.1,493.1,0,15.21,0.5642,0.000376,-8.03,26.79
2026-09-04 14:00:00,26106.9,493.1,493.1,493.1,493.1,0,15.15,0.5655,0.000378,-8.0,26.77
2026-09-04 14:15:00,26106.0,493.1,493.1,493.1,493.1,0,15.17,0.5651,0.000377,-8.01,26.77
2026-09-04 14:30:00,26084.2,493.1,493.1,493.1,493.1,0,15.63,0.5556,0.000368,-8.29,26.84
2026-09-04 14:45:00,26084.9,493.1,493.1,493.1,493.1,0,15.62,0.5559,0.000368,-8.28,26.83
2026-09-04 15:00:00,26081.7,493.1,493.1,493.1,493.1,0,15.69,0.5546,0.000367,-8.32,26.84
2026-09-04 15:15:00,26051.0,493.1,493.1,493.1,493.1,0,16.32,0.5422,0.000355,-8.69,26.91
