datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-03 09:15:00,23982.2,240.0,275.0,235.0,261.0,3261375,13.39,0.6846,0.00092,-12.95,10.21
2026-09-03 09:30:00,24016.85,260.65,296.35,260.35,291.8,1903200,14.07,0.7068,0.000847,-13.2,9.89
2026-09-03 09:45:00,24007.6,291.65,298.7,283.45,285.95,852085,14.15,0.6981,0.000855,-13.46,10.01
2026-09-03 10:00:00,23991.15,285.95,285.95,274.3,274.3,522535,14.14,0.6842,0.000874,-13.73,10.19
2026-09-03 10:15:00,23984.7,275.1,281.9,261.3,261.9,577655,13.36,0.6879,0.000921,-12.92,10.13
2026-09-03 10:30:00,23967.05,261.45,266.0,234.0,242.65,1140295,12.67,0.68,0.000984,-12.39,10.22
2026-09-03 10:45:00,23960.9,242.9,248.0,228.0,235.3,852800,12.37,0.6779,0.001012,-12.14,10.23
2026-09-03 11:00:00,23926.9,235.15,239.35,210.0,214.25,1234935,12.52,0.6414,0.001045,-12.8,10.64
2026-09-03 11:15:00,23964.15,214.45,240.0,208.5,240.0,1552265,12.64,0.678,0.000992,-12.43,10.21
2026-09-03 11:30:00,23965.25,240.6,248.8,235.65,240.05,954720,12.59,0.68,0.000995,-12.35,10.18
2026-09-03 11:45:00,23956.75,240.55,246.1,225.45,231.0,842790,12.28,0.6756,0.001027,-12.13,10.22
2026-09-03 12:00:00,23935.95,231.0,233.45,214.1,219.25,963820,12.49,0.6517,0.00104,-12.69,10.49
2026-09-03 12:15:00,23907.75,219.25,219.25,199.0,204.8,1675050,12.83,0.619,0.001046,-13.44,10.79
2026-09-03 12:30:00,23909.05,204.1,214.15,202.35,207.0,1067300,12.97,0.6193,0.001035,-13.6,10.78
2026-09-03 12:45:00,23920.3,206.9,218.4,204.15,212.1,1211210,12.8,0.6326,0.001038,-13.29,10.65
2026-09-03 13:00:00,23926.0,211.25,218.6,207.25,212.6,666705,12.52,0.6415,0.001053,-12.9,10.55
2026-09-03 13:15:00,23910.05,212.0,218.95,189.9,204.1,1488695,12.68,0.6232,0.001059,-13.29,10.71
2026-09-03 13:30:00,23907.35,204.1,222.95,200.0,204.05,1944150,12.85,0.619,0.00105,-13.53,10.74
2026-09-03 13:45:00,23918.15,203.3,212.95,195.2,210.05,1241305,12.79,0.631,0.001045,-13.35,10.62
2026-09-03 14:00:00,23913.3,209.55,214.85,204.2,208.4,718510,12.93,0.6247,0.00104,-13.59,10.67
2026-09-03 14:15:00,23921.85,208.75,214.2,201.55,210.3,835250,12.62,0.6368,0.001055,-13.13,10.55
2026-09-03 14:30:00,23908.2,210.45,212.65,202.65,207.0,652665,13.12,0.618,0.001033,-13.89,10.7
2026-09-03 14:45:00,23897.35,207.5,211.45,194.2,196.0,1228175,12.73,0.6099,0.001073,-13.57,10.75
2026-09-03 15:00:00,23903.9,196.15,204.8,187.4,200.7,1743885,12.81,0.6164,0.001062,-13.6,10.69
2026-09-03 15:15:00,23873.45,201.6,205.0,171.2,172.8,1509040,11.94,0.5894,0.001163,-12.91,10.86
