datetime,underlying,symbol,strike,type,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-02 09:15:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76225.08,2128.85,2128.85,2128.85,2128.85,20,23.43,0.5746,8.8e-05,-38.24,73.39
2026-09-02 09:20:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76181.1,2128.85,2128.85,2128.85,2128.85,0,23.78,0.57,8.7e-05,-38.87,73.51
2026-09-02 09:25:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76261.55,2128.85,2128.85,2128.85,2128.85,0,23.15,0.5785,8.9e-05,-37.72,73.27
2026-09-02 09:30:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76341.94,2128.85,2128.85,2128.85,2128.85,0,22.51,0.5875,9.1e-05,-36.53,72.98
2026-09-02 09:35:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76295.17,2128.85,2128.85,2128.85,2128.85,0,22.89,0.5822,9e-05,-37.23,73.15
2026-09-02 09:40:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76341.45,2128.85,2128.85,2128.85,2128.85,0,22.52,0.5874,9.1e-05,-36.55,72.97
2026-09-02 09:45:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76320.71,2128.85,2128.85,2128.85,2128.85,0,22.69,0.5851,9.1e-05,-36.86,73.04
2026-09-02 09:50:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76303.43,2128.85,2128.85,2128.85,2128.85,0,22.83,0.5831,9e-05,-37.13,73.1
2026-09-02 09:55:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76382.5,2128.85,2128.85,2128.85,2128.85,0,22.19,0.5922,9.2e-05,-35.93,72.78
2026-09-02 10:00:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76373.64,2128.85,2128.85,2128.85,2128.85,0,22.27,0.5912,9.2e-05,-36.07,72.81
2026-09-02 10:05:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76344.0,2128.85,2128.85,2128.85,2128.85,0,22.51,0.5877,9.1e-05,-36.54,72.93
2026-09-02 10:10:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76344.69,2128.85,2128.85,2128.85,2128.85,0,22.51,0.5878,9.1e-05,-36.53,72.92
2026-09-02 10:15:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76396.77,2128.85,2128.85,2128.85,2128.85,0,22.08,0.5939,9.3e-05,-35.73,72.69
2026-09-02 10:20:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76448.37,2128.85,2128.85,2128.85,2128.85,0,21.66,0.6002,9.4e-05,-34.92,72.44
2026-09-02 10:25:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76478.36,2128.85,2128.85,2128.85,2128.85,0,21.41,0.604,9.5e-05,-34.44,72.27
2026-09-02 10:30:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76476.61,2128.85,2128.85,2128.85,2128.85,0,21.43,0.6038,9.5e-05,-34.47,72.27
2026-09-02 10:35:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76410.14,2128.85,2128.85,2128.85,2128.85,0,21.98,0.5955,9.3e-05,-35.54,72.61
2026-09-02 10:40:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76404.25,2128.85,2128.85,2128.85,2128.85,0,22.03,0.5948,9.3e-05,-35.64,72.63
2026-09-02 10:45:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76406.83,2128.85,2128.85,2128.85,2128.85,0,22.01,0.5951,9.3e-05,-35.61,72.61
2026-09-02 10:50:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76381.44,2128.85,2128.85,2128.85,2128.85,0,22.22,0.5921,9.2e-05,-36.01,72.72
2026-09-02 10:55:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76394.71,2128.85,2128.85,1700.0,1700.0,20,16.16,0.6213,0.000124,-25.61,71.2
2026-09-02 11:00:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76330.28,1700.0,1700.0,1700.0,1700.0,0,16.72,0.61,0.000121,-26.72,71.78
2026-09-02 11:05:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76311.2,1700.0,1700.0,1700.0,1700.0,0,16.88,0.6069,0.00012,-27.05,71.92
2026-09-02 11:10:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76309.2,1700.0,1700.0,1700.0,1700.0,0,16.9,0.6065,0.00012,-27.09,71.93
2026-09-02 11:15:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76320.59,1700.0,1700.0,1670.0,1670.0,20,16.39,0.6108,0.000124,-26.18,71.71
2026-09-02 11:20:00,SENSEX,BSE:SENSEX26SEP75500CE,75500,CE,76283.88,1670.0,1670.0,1670.0,1670.0,0,16.7,0.6045,0.000122,-26.8,72.0
