date,weekday,exchange,description,source
2026-01-15,Thursday,NSE+BSE,Municipal Corporation Elections Maharashtra,NSE-CMTR71775
2026-01-26,Monday,NSE+BSE,Republic Day,NSE-CMTR71775
2026-03-03,Tuesday,NSE+BSE,Holi,NSE-CMTR71775
2026-03-26,Thursday,NSE+BSE,Shri Ram Navami,NSE-CMTR71775
2026-03-31,Tuesday,NSE+BSE,Shri Mahavir Jayanti,NSE-CMTR71775
2026-04-03,Friday,NSE+BSE,Good Friday,NSE-CMTR71775
2026-04-14,Tuesday,NSE+BSE,Dr Baba Saheb Ambedkar Jayanti,NSE-CMTR71775
2026-05-01,Friday,NSE+BSE,Maharashtra Day,NSE-CMTR71775
2026-05-28,Thursday,NSE+BSE,Bakri Eid,NSE-CMTR71775
2026-06-26,Friday,NSE+BSE,Moharram,NSE-CMTR71775
2026-09-14,Monday,NSE+BSE,Ganesh Chaturthi,NSE-CMTR71775
2026-10-02,Friday,NSE+BSE,Mahatma Gandhi Jayanti,NSE-CMTR71775
2026-10-20,Tuesday,NSE+BSE,Dussehra,NSE-CMTR71775
2026-11-10,Tuesday,NSE+BSE,Diwali Balipratipada,NSE-CMTR71775
2026-11-24,Tuesday,NSE+BSE,Prakash Gurpurb Sri Guru Nanak Dev,NSE-CMTR71775
2026-12-25,Friday,NSE+BSE,Christmas,NSE-CMTR71775
